Xw:-532.017073			Yw:-410.240684			Zw:973.614634
Xw:-377.766667			Yw:-295.085404			Zw:700.319298
Xw:-291.132877			Yw:-230.409151			Zw:546.824658
Xw:-235.648315			Yw:-188.987281			Zw:448.519101
Xw:-197.073333			Yw:-160.189219			Zw:380.173333
Xw:-168.700000			Yw:-139.007174			Zw:329.902479
Xw:-146.954015			Yw:-122.772759			Zw:291.373723
Xw:-129.756209			Yw:-109.933778			Zw:260.903268
Xw:-115.814793			Yw:-99.525846			Zw:236.202367
Xw:-103.724194			Yw:-90.429398			Zw:214.613978
Xw:-94.590547			Yw:-83.680936			Zw:198.598010
Xw:-85.929817			Yw:-77.155358			Zw:183.111009
Xw:-79.196137			Yw:-72.188275			Zw:171.322747
Xw:-72.982731			Yw:-67.549671			Zw:160.314056
Xw:-67.519623			Yw:-63.471200			Zw:150.634717
Xw:-704.508000			Yw:-672.794722			Zw:1596.728000
Xw:-422.748780			Yw:-410.240684			Zw:973.614634
Xw:-299.170175			Yw:-295.085404			Zw:700.319298
Xw:-229.763014			Yw:-230.409151			Zw:546.824658
Xw:-185.311236			Yw:-188.987281			Zw:448.519101
Xw:-154.406667			Yw:-160.189219			Zw:380.173333
Xw:-131.675207			Yw:-139.007174			Zw:329.902479
Xw:-114.253285			Yw:-122.772759			Zw:291.373723
Xw:-100.475163			Yw:-109.933778			Zw:260.903268
Xw:-88.780588			Yw:-98.940400			Zw:234.812941
Xw:-80.503804			Yw:-91.412326			Zw:216.946739
Xw:-71.589655			Yw:-82.856493			Zw:196.641379
Xw:-66.291628			Yw:-78.231944			Zw:185.666047
Xw:-59.458298			Yw:-71.573907			Zw:169.864681
Xw:-59.793450			Yw:-73.449205			Zw:174.315284
Xw:-57.565236			Yw:-72.188275			Zw:171.322747
Xw:-56.363519			Yw:-72.188275			Zw:171.322747
Xw:-59.503241			Yw:-77.869759			Zw:184.806481
Xw:-58.206944			Yw:-77.869759			Zw:184.806481
Xw:-56.648387			Yw:-77.510913			Zw:183.954839
Xw:-55.104128			Yw:-77.155358			Zw:183.111009
Xw:-54.570698			Yw:-78.231944			Zw:185.666047
Xw:-52.535321			Yw:-77.155358			Zw:183.111009
Xw:-51.966047			Yw:-78.231944			Zw:185.666047
Xw:-49.738356			Yw:-76.803050			Zw:182.274886
Xw:-49.132870			Yw:-77.869759			Zw:184.806481
Xw:-47.397706			Yw:-77.155358			Zw:183.111009
Xw:-46.325806			Yw:-77.510913			Zw:183.954839
Xw:-45.035484			Yw:-77.510913			Zw:183.954839
Xw:-43.544495			Yw:-77.155358			Zw:183.111009
Xw:-43.050000			Yw:-78.597514			Zw:186.533645
Xw:-41.355093			Yw:-77.869759			Zw:184.806481
Xw:-36.820000			Yw:-71.573907			Zw:169.864681
Xw:-35.934335			Yw:-72.188275			Zw:171.322747
Xw:-34.732618			Yw:-72.188275			Zw:171.322747
Xw:-35.674429			Yw:-76.803050			Zw:182.274886
Xw:-34.712903			Yw:-77.510913			Zw:183.954839
Xw:-31.261638			Yw:-72.499431			Zw:172.061207
Xw:-29.797863			Yw:-71.879778			Zw:170.590598
Xw:-28.847845			Yw:-72.499431			Zw:172.061207
Xw:-27.522318			Yw:-72.188275			Zw:171.322747
Xw:-26.096596			Yw:-71.573907			Zw:169.864681
Xw:-43.676866			Yw:-125.521403			Zw:297.897015
Xw:-36.422876			Yw:-109.933778			Zw:260.903268
Xw:-31.133529			Yw:-98.940400			Zw:234.812941
Xw:-27.242935			Yw:-91.412326			Zw:216.946739
Xw:-23.663500			Yw:-84.099340			Zw:199.591000
Xw:-20.425229			Yw:-77.155358			Zw:183.111009
Xw:-17.756170			Yw:-71.573907			Zw:169.864681
Xw:-16.778879			Yw:-72.499431			Zw:172.061207
Xw:-15.505150			Yw:-72.188275			Zw:171.322747
Xw:-133.308000			Yw:-672.794722			Zw:1596.728000
Xw:-109.025000			Yw:-600.709573			Zw:1425.650000
Xw:-110.908000			Yw:-672.794722			Zw:1596.728000
Xw:-95.873077			Yw:-646.918002			Zw:1535.315385
Xw:-88.508000			Yw:-672.794722			Zw:1596.728000
Xw:-71.581481			Yw:-622.958076			Zw:1478.451852
Xw:-66.108000			Yw:-672.794722			Zw:1596.728000
Xw:-54.908000			Yw:-672.794722			Zw:1596.728000
Xw:-25.411628			Yw:-391.159722			Zw:928.330233
Xw:-14.257895			Yw:-295.085404			Zw:700.319298
Xw:-9.345614			Yw:-295.085404			Zw:700.319298
Xw:-4.283051			Yw:-285.082509			Zw:676.579661
Xw:0.364000			Yw:-224.264907			Zw:532.242667
Xw:4.328169			Yw:-236.899550			Zw:562.228169
Xw:8.045205			Yw:-230.409151			Zw:546.824658
Xw:12.215493			Yw:-236.899550			Zw:562.228169
Xw:12.747778			Yw:-186.887423			Zw:443.535556
Xw:15.684615			Yw:-184.833715			Zw:438.661538
Xw:23.712500			Yw:-233.609278			Zw:554.419444
Xw:36.801852			Yw:-311.479038			Zw:739.225926
Xw:39.091379			Yw:-289.997725			Zw:688.244828
Xw:44.689474			Yw:-295.085404			Zw:700.319298
Xw:38.730137			Yw:-230.409151			Zw:546.824658
Xw:42.565753			Yw:-230.409151			Zw:546.824658
Xw:37.636667			Yw:-186.887423			Zw:443.535556
Xw:35.262500			Yw:-161.729500			Zw:383.828846
Xw:32.354918			Yw:-137.867771			Zw:327.198361
Xw:31.083088			Yw:-123.675500			Zw:293.516176
Xw:29.459477			Yw:-109.933778			Zw:260.903268
Xw:28.495833			Yw:-100.118262			Zw:237.608333
Xw:27.390811			Yw:-90.918206			Zw:215.774054
Xw:26.870854			Yw:-84.521950			Zw:200.593970
Xw:25.813303			Yw:-77.155358			Zw:183.111009
Xw:25.244872			Yw:-71.879778			Zw:170.590598
Xw:26.784848			Yw:-72.813282			Zw:172.806061
Xw:27.638034			Yw:-71.879778			Zw:170.590598
Xw:28.834615			Yw:-71.879778			Zw:170.590598
Xw:30.290086			Yw:-72.499431			Zw:172.061207
Xw:31.361803			Yw:-72.188275			Zw:171.322747
Xw:32.563519			Yw:-72.188275			Zw:171.322747
Xw:34.057576			Yw:-72.813282			Zw:172.806061
Xw:145.487500			Yw:-300.354787			Zw:712.825000
Xw:113.882432			Yw:-227.295514			Zw:539.435135
Xw:98.946591			Yw:-191.134864			Zw:453.615909
Xw:83.993458			Yw:-157.195028			Zw:373.067290
Xw:77.227500			Yw:-140.165567			Zw:332.651667
Xw:69.688321			Yw:-122.772759			Zw:291.373723
Xw:64.653289			Yw:-110.657027			Zw:262.619737
Xw:59.107018			Yw:-98.361801			Zw:233.439766
Xw:56.147568			Yw:-90.918206			Zw:215.774054
Xw:53.604523			Yw:-84.521950			Zw:200.593970
Xw:50.448387			Yw:-77.510913			Zw:183.954839
Xw:51.266210			Yw:-76.803050			Zw:182.274886
Xw:53.029032			Yw:-77.510913			Zw:183.954839
Xw:63.372581			Yw:-90.429398			Zw:214.613978
Xw:60.336500			Yw:-84.099340			Zw:199.591000
